閼伽棚,あかだな
県召しの除目,あがためしのじもく
衵,あこめ
阿闍梨,あじやり
網代,あじろ
葵祭り,あおいまつり
白馬の節会,あおうまのせちえ
衣冠,いかん
斎宮,いつきのみや
袿,うちき
卯槌,うづち
烏帽子,えぼし
大臣,おとど
格子,こうし
方違へ,かたたがえ
汗衫,かざみ
唐衣,からぎぬ
唐衣,からころも
狩衣,かりぎぬ
上達部,かんだちめ
如月,きさらぎ
几帳,きちょう
牛車,ぎっしゃ
公達,きんだち
公事,くじ
水鶏,くいな
蔵人,くろうど
競馬,くらべうま
灌仏,かんぶつ
懸想人,けそうびと
検非違使,けびいし
脇息,きょうそく
験者,げんざ
障子,しょうじ
装束,そうぞく
桟敷,さじき
指貫,さしぬき
雑色,そうじき
時雨,しぐれ
透垣,すいがい
随人,ずいじん
双六,すごろく
炭櫃,すびつ
受領,ずりょう
節分,せちぶん
前裁,せんざい
僧都,そうず
束帯,そくたい
卒塔婆,そとば
大宰の帥,だざいのそち
立蔀,たてじとみ
地下,じげ
築地,ついじ
追儺,ついな
司召の除目,つかさめしのじもく
殿上人,てんじょうびと
春宮,とうぐう
舎人,とねり
内侍,ないし
典侍,ないしのすけ
長押,なげし
直衣,のうし
新嘗,にいなめ
女御,にょうご
荷前,のさき
直垂,ひたたれ
檜皮葺,ひわだぶき
氷魚,ひお
時鳥,ほととぎす
御簾,みす
水無月祓へ,みなづきばらへ
命婦,みょうぶ
御息所,みやすんどころ
澪標,みつくし
乳母,めのと
物忌,ものいみ
物の怪,もののけ
物詣で,ものもうで
山賊,やまかうづ
遣水,やりみず
六衛府,ろくえふ
破籠,わりご
